"id","abbreviation","fullform","type","publication_id"
"708","GCCI (aka GC) "," R. P. Dougherty, Goucher College Cuneiform Inscriptions (New Haven 1923-33)   ",NULL,NULL
"709","Geers Heft "," Unpublished volumes of copies of texts and fragments from the British Museum Kouyunjik collection.   ",NULL,NULL
"710","gen. "," genitive   ",NULL,NULL
"711","GEN "," A. Shaffer, Sumerian Sources of Tablet XII of the Epic of Gilgamesh (Univ. of Pennsylvania, diss., 1963)   ",NULL,NULL
"712","Genava "," Bulletin du Musée d'Arts et d'Histoire de Genève (Genf 1923-1952); NS = nouvelle série (1953 ff.)   ",NULL,NULL
"713","geogr. "," geographical (texts)   ",NULL,NULL
"714","Geschlechtsreife "," Geschlechtsreife und Legitimation zur Zeugung, ed. E.W. Muller   ",NULL,NULL
"715","Getreide "," F. Hrozny, Das Getreide im alten Babylonien   ",NULL,NULL
"716","GGL "," J. Marzahn, Die Grundlagen der Getreideproduktion in Lagash (unpublished)   ",NULL,NULL
"717","Gilgamesh and Agga "," lit. comp.; S.N. Kramer, AJA 53 lff W. Römer AOAT 224ff.; H. Vanstiphout, Aula Or 5, 138ff   ",NULL,NULL
"718","Gilgamesh and Huwawa A "," llt. comp.; ms. A. Shaffer; cf. S.N. Kramer, JCS 1, 3ff. and dupls.; line numbering after D.O. Edzard, ZA 81, 165ff.   ",NULL,NULL
"719","Gilgamesh and Huwawa B "," lit. comp.; ms. A. Shaffer; line numbering after D.O. Edzard, BAW Philosophisch-Historische Klasse Sitzungsbericht 1993/4 16ff.  ",NULL,NULL
"720","Gilgamesh and Huwawa Short Version "," lit. comp.; M. Ellis, AfO 28   ",NULL,NULL
"721","Gilgamesh and the Bull of An "," lit. comp.; A. Cavigneaux, RA 87 (1993)  97-129  ",NULL,NULL
"722","Gilgamesh and the Netherworld "," lit. comp.; A. Shaffer, Sumerian Sources of Tablet XII of the Epic of Gilgamesh (diss., Univ. of Pennsylvania)   ",NULL,NULL
"723","Gilgamesh II "," A. R. George, The Babylonian Gilgamesh Epic, vol. II, Oxford University Press, 2003   ",NULL,NULL
"724","Gishshakidu of Umma "," royal inscr.; Steible ABW 2, 268   ",NULL,NULL
"725","GKT "," K. Hecker. Grammatik der Kültepe-Texte, Analecta Orientalia, 44 (Rome  Pontificum Institutum Biblicum).  ",NULL,NULL
"726","GLH "," F. Laroche, Glossaire de la langue hourrite, I (= RHA 34/35, 1976/78)   ",NULL,NULL
"727","GMA (aka Glyptik) "," P. Amiet, La glyptique mésopotamienne archa&#239;que (Paris 19611, 19802)   ",NULL,NULL
"728","GN "," geographical name   ",NULL,NULL
"729","GPA "," see CTN (volume 2)   ",NULL,NULL
"730","gramm. "," grammatical (texts)   ",NULL,NULL
"731","Gratz Ann. Vol. "," Gratz College Anniversary Volume   ",NULL,NULL
"732","Gud. "," Gudea-Inschriften. Sigeln und Numerierng nach der Edition von H. Steible FAOS 9, 1-2 (Stuttgart 1991)   ",NULL,NULL
"733","Gudea Cyl. A and B "," lit. comp.; F. Thureau- Dangin, TCL 8; R. Averbeck, A Preliminary Study of Ritual and Structure in the Cylinders of Gudea (diss., Dropsie College) 589ff.; RIME 3/1, 68-106   ",NULL,NULL
"734","Gudea lff. "," royal inscr.; Steible NBW 1, 256ff.   ",NULL,NULL
"735","Gudea Statue Aff. "," royal inscr.; Steible NBW 1, 154ff.; RIME 3/1, 29-67   ",NULL,NULL
"736","Gudea to his God "," letter-prayer; TMH NF 3, 56 and dupl. UM 29-15-995   ",NULL,NULL
"737","Gudeaenlilla to Dingirmansum "," letter; TMH NF 3, 57   ",NULL,NULL
"738","Guide3 "," E. Budge/C. J. Gadd/H. Hall/S. Smith, A Guide to the Babylonian and Assyrian Antiquities, 3d ed (London 1922)   ",NULL,NULL
"739","Gungunum 1 "," (StOr 49, 40; RIME 4  Gungunum 3)  ",NULL,NULL
"740","Gungunum 2 "," (StOr 49, 40; RIME 4  Gungunum 1)  ",NULL,NULL
"741","Gungunum 3 "," (StOr 49, 41; RIME 4  Gungunum 2)  ",NULL,NULL
"742","Gungunum lff. "," royal inscr.   ",NULL,NULL
"743","Gungunum seals a-c "," (StOr 49, 41; RIME 4  Gungunum 2001-2003)  ",NULL,NULL
"744","GvG "," Carl Brockelmann, Grundriss der Vergleichenden Grammatik der Semitischen Sprachen, 2 vols., Leipzig 1908 and 1913, reprinted Hildesheim 1961   ",NULL,NULL
"745","H "," field numbers of tablets excavated at Tell-Hadad   ",NULL,NULL
"746","HAB "," F. Sommer/A. Falkenstein, Die hethitisch-akkadische Bilingue des Hattushili l. (= AMAW NF 16, 1938; reprint, Hildesheim 1974)   ",NULL,NULL
"747","Haja (aka Steible Haja) "," H. Steible, Ein Lied an den Gott Haja (diss., Albert- Ludsvigs Univ., Freiburg)   ",NULL,NULL
"748","HamG (aka HG) "," J. Kohler/F. L. Peiser/P. Koschaker/A. Ungnad, Hammurabis Gesetz (Leipzig 1904-23)   ",NULL,NULL
"749","Hammurabi 01 "," (StOr 49, 141f.  Rimsin 1, RIME 4  Hammurabi 1) ",NULL,NULL
"750","Hammurabi 02 "," (StOr 55.1, 6-10; RIME 4  Ham-  ",NULL,NULL
"751","Hammurabi 04 "," (StOr55.1,15f.;RIME4 Hammurabi 4)  ",NULL,NULL
"752","Hammurabi 05 "," (RIME 4, 332  Hammurabi 5)  ",NULL,NULL
"753","Hammurabi 08 "," (StOr 55.1, 12-13, RIME 4  Hammurabi 8)  ",NULL,NULL
"754","Hammurabi 09 "," (StOr 55.1, 12-13; RIME 4  Hammurabi 9)  ",NULL,NULL
"755","Hammurabi 10 "," (RIME 4, 344f.  Hammurabi 10)  ",NULL,NULL
"756","Hammurabi 11 "," (RIME 4, 345ff.  Hammurabi 11)  ",NULL,NULL
"757","Hammurabi 12 "," (StOr 55.1,4f.; RIME 4  Hammurabi12)  ",NULL,NULL
"758","Hammurabi 13 "," (StOr 55.1, 1; RIME 4  Hammurabi 13)  ",NULL,NULL
"759","Hammurabi 14 "," (StOr 55.1, 1-2, RIME 4  Hammurabi 14)  ",NULL,NULL
"760","Hammurabi 15 "," (StOr 55.1, 2-3; RIME 4  Hammurabi 15)  ",NULL,NULL
"761","Hammurabi 16 "," (StOr 55.1, 3-4; RIME 4  Hammurabi 16)  ",NULL,NULL
"762","Hammurabi 21 "," (RIME 4, 357  Hammurabi 1001)  ",NULL,NULL
"763","Hammurabi 22 "," (StOr 55.1, 18; RIME 4  Hammurabi 2001)  ",NULL,NULL
"764","Hammurabi 23 "," (StOr 55.1, 17; RIME 4  Hammurabi 2002)  ",NULL,NULL
"765","Hammurabi 24 "," (RIME 4  Hammurabi 2003)  ",NULL,NULL
"766","Hammurabi 25 "," (RIME 4  Hammurabi 2004)  ",NULL,NULL
"767","Hammurabi lff. "," royal inscr.   ",NULL,NULL
"768","Handwerk "," H. Neumann, Handwerk in Mesopotamien, Untersuchungen zu seiner Organisation in der Zeit der III. Dynastie von Ur. Schriften zur Geschichte und Kultur des Alten Orients 19 (Berlin 1987)   ",NULL,NULL
"769","Harem "," Ernst Weidner, Hof- und Haremserlasse assyrischer Könige aus dem 2. Jahrtausend v. Chr. (mit 6 Tafeln), AOf 17 (1954-56) 257-293   ",NULL,NULL
"770","Harps "," Th. Jacobsen, The Harps That Once . . .   ",NULL,NULL
"771","HaS "," I. J. GeIb, Hurrians and Subarians (= SAOC 22, 1944)   ",NULL,NULL
"772","Hatt. "," A. Götze, Hattushilish. Der Bericht über seine Thronbesteigung nebst den Paralleltexten (= MVAeG 29/3, 1925)   ",NULL,NULL
"773","Hattori dissertation "," A. Hattori, Texts and Impressions  A Holistic approach to Ur III cuneiform tablets from the University of Pennsylvania expeditions to Nippur (University of Pennsylvania, 2002)  ",NULL,NULL
"774","Haupt Akkadische Sprache "," Paul Haupt, Die akkadische Sprache  Vortrag gehalten auf dem fünften internationalen Orientalisten-Congresse zu Berlin, 1883  ",NULL,NULL
"775","Haupttypen "," A. Falkenstein, Die Haupttypen der sumerischen Beschwörung (LSS NF 1)   ",NULL,NULL
"776","Hausgeräte I (aka A. Salonen HAM, HAM) "," A. Salonen, Die Hausgeräte des alten Mesopotamier nach sumerisch-akkadischen Quellen, Teil I (Helsinki 1965), (= AASF B 139)   ",NULL,NULL
"777","Hausgeräte II (aka A. Salonen HAM II) "," A. Salonen, Die Hausgeräte des alten Mesopotamier nach sumerisch-akkadischen Quellen, Teil II  Die Gefäße (Helsinki 1966), (= AASF B 144)  ",NULL,NULL
"778","HAV (aka HAV lff) "," Hilprecht Anniversary Volume   ",NULL,NULL
"779","HBA (aka HdBA) "," E. F. Weidner, Handbuch der babylonischen Astronomie, I (= AB 23, 1915)   ",NULL,NULL
"780","HdA (aka HdAr.) "," Handbuch der Archäologie, im Rahmen des Handbuchs der Altertumswissenschaft (München 1939 ff.)   ",NULL,NULL
"781","HdCh "," F.W. König, Handbuch der chaldischen Inschriften (= AfO Beih. 8, 1955/1957)   ",NULL,NULL
"782","HdOr "," Handbuch der Orientalistik (Leiden 1948 ff.); Erg.Bd. (1955 ff.)   ",NULL,NULL
"783","Hebr. "," Hebrew   ",NULL,NULL
"784","HED "," J. Puhvel, Hittite Etymological Dictionary (Berlin 1984 ff.)   ",NULL,NULL
"785","Heisserer "," A. J. Heisserer (ed.), Classical Antiquities  The collection of the Stovall Museum of Science & History (University of Oklahoma, 1986)  ",NULL,NULL
"786","Hendursaga Hymn "," lit. comp.; D.O.Edzard and C. Wilcke, AOAT 25, 139ff.   ",NULL,NULL
"787","HEO "," Hautes études orientales (Geneva 1968 ff.); für Bd. 18 s. Car. EPHE.   ",NULL,NULL
"788","Heron and Turtle "," lit. comp.; G. Gragg, AfO 24, 51ff.; rev. ms. M. Civil   ",NULL,NULL
"789","Hethitica "," Hethitica (Leuven 1972 ff.)   ",NULL,NULL
"790","HFAC "," G. Beckmann/H. A. Hoffner, Jr., Hittite Fragments in American Collections (= TBC 2, 1982) = JCS 37, 1985 S. 1-60.   ",NULL,NULL
"791","HFara (aka Fara) "," E. Heinrich, Fara, Ergebnisse der Ausgrabungen der Deutschen Orient-Gesellschaft in Fara und Abu Hatab (1902/3, Berlin 1931)   ",NULL,NULL
"792","Hg. "," Lexical series HAR.gud = imru = ballu (in  MSL 5-11)  ",NULL,NULL
"793","HH "," L. Laroche, Les hiéroglyphes hittites (Paris l960)   ",NULL,NULL
"794","Hh. "," Lexical series HAR.ra = hubullu (= MSL 5-11)   ",NULL,NULL
"795","HHL "," J. Hawkins/A. Morpurgo-Davies/G. Neumann, Hittite Hieroglyphs and Luwian  New Evidence for the Connection (= NAWG 1973, 6, 1974)  ",NULL,NULL
"796","HippHeth "," A. Kammenhuber, Hippologica Hethitica (Wiesbaden 1961)   ",NULL,NULL
"797","Hippologica (aka A. Salonen, Hippologica) "," A. Salonen, Hippologica Accadica (Helsinki 1956), (= AASF B 100)   ",NULL,NULL
"798","Hiring "," M. Weitemeyer, Some Aspects of the Hiring of Workers in the Slppar Region in the Time of Hammurabi   ",NULL,NULL
"799","Hirose Collection "," T. Gomi, Y. Hirose and K. Hirose, Neo-Sumerian Administrative Texts of the Hirose Collection   ",NULL,NULL
"800","hist. "," historical (texts)   ",NULL,NULL
"801","Historia Mathematica "," Historia Mathematica (Toronto)   ",NULL,NULL
"802","HitG (aka HG) "," J. Friedrich, Die hethitischen Gesetze (Leiden, 19591, 19712)   ",NULL,NULL
"803","Hitt. "," Hittite   ",NULL,NULL
"804","HKL "," R. Borger, Handbuch der Keilschriftliteratur (Berlin 1967-75)   ",NULL,NULL
"805","HKM "," S. AIp, Masat-Höyük'te bulunan civi yazili Hitit tabletleri/Hittite Cuneiform Tablets from Masat-Höyük (= TTKY VI/34, 1991).   ",NULL,NULL
"806","HLC (aka Barton Haverford) "," G. Barton, Haverford Library Collection of Cuneiform Tablets (Philadelphia 1905-1914); collations by T. Maeda, ASJ 2,197ff.   ",NULL,NULL
"807","HMA (aka Lowie; LM) "," sigla of the Hearst Museum of Anthropology, University of California at Berkeley   ",NULL,NULL
"808","Hoe and Plow "," lit. comp.; ms. M. Civil   ",NULL,NULL
"809","Holma-Salonen Cuneiform Tablets "," H. Holma and A. Salonen, Some Cuneiform Tablets from the Time of the Third Ur Dynasty (= StOr 9/1)   ",NULL,NULL
"810","Home of the Fish "," lit. comp.; M. Civil, Iraq 23, 154ff.   ",NULL,NULL
"811","House Most High "," A.R. George, House Most Hlgh  The Temples of Ancient Mesopotamia (= MC 5)  ",NULL,NULL
"812","HPN "," E. Huber, die Personennamen in den Keilschrifturkunden aus der Zeit der Könige von Ur und Nisin. Assyr. Bibliothek, vol. 21. (Leipzig, 1907)   ",NULL,NULL
"813","HRT "," A. Goetze, The Hittite Ritual of Tunnawi (= AOS 14, 1938)   ",NULL,NULL
"814","HS "," Tablet siglum of the Hilprecht Collection in Jena   ",NULL,NULL
"815","HSA "," L. W. King, A History of Sumer and Akkad (London 1910)   ",NULL,NULL
"816","HSAO "," Heidelberger Studien zum Alten Orient (vol. 1 [= Fs. A. Falkenstein] Wiesbaden 1967, vol.2 ff. Heidelberg 1988 ff.)   ",NULL,NULL
"817","HSM "," tablets in the collections of the Harvard Semitic Museum   ",NULL,NULL
"818","HSS "," Harvard Semitic Series (Cambridge, Mass. 1912 ff.)   ",NULL,NULL
"819","HT "," L.W. King, Hittite Texts in the Cuneiform Character from Tablets in the British Museum (London 1920)   ",NULL,NULL
"820","HTR "," H. Otten, Hethitische Totenrituale (= DAWIfO 37, 1958)   ",NULL,NULL
"821","HTS "," tablets from the Hartford Theological Seminary Collection texts now at Yale and Andrews Universities   ",NULL,NULL
"822","HUCA "," Hebrew Union College Annual (Cincinnati 1924 ff.); Supp. = Supplement (1976 ff.)   ",NULL,NULL
"823","Hurr. "," Hurrian   ",NULL,NULL
"824","HW (aka HethWb., HWb.) "," J. Friedrich, Hethititsches Wörterbuch (Heidelberg 1952-1954); 1-3 Ergänzungsheft (Heidelberg 1957-1966)   ",NULL,NULL
"825","HW2 (aka HethWb., HWb2) "," J. Friedrich/A. Kammenhuben, Hethitisches Wörterbuch (Heidelberg 1975 ff.)   ",NULL,NULL
"826","Hymn to Nintu "," lit. comp.; C. Wilcke, AS 20, 235ff. and dupls.   ",NULL,NULL
"827","Hymn to the Ekur "," lit. comp.; S.N. Kramer, RSO 32, 95ff.   ",NULL,NULL
"828","HZL "," C. Ruster and E. Neu, Hethitisches Zeichenlexikon (Harrassowitz Verlag 1989)   ",NULL,NULL
"829","i.e. "," that is   ",NULL,NULL
"830","IAK "," E. Ebeling, B. Meissner, E. F. Weidner, Die Inschriften der Altassyrischen Könige (Leipzig, Verlag Von Quelle & Meyer, 1926)   ",NULL,NULL
"831","IAS "," R. D. Biggs, Inscriptions from Tell Abu Salabikh (= OIP 99, 1974)   ",NULL,NULL
"832","IB "," Ishan Bahriyat, Isin excavation sigla   ",NULL,NULL
"833","Ibbisin lff. "," royal inscr.; Steible NBW 2, 279ff.   ",NULL,NULL
"834","Ibbisin to Ishbierra "," letter; S. N. Kramer, OECT 5, 15f.   ",NULL,NULL
"835","Ibbisin to Puzurnumushda "," letter; A. Falkenstein, ZA 49, 59ff.   ",NULL,NULL
"836","IBoT "," Istanbul Arkeoloji Müzelerinde bulunan Bogazköy tabletleri (Istanbul 1944 ff.)   ",NULL,NULL
"837","ICC "," H. A. Layard, lnscriptions in the Cuneiform Character from Assyrian Monuments (London 1852)   ",NULL,NULL
"838","ICK "," Inscriptions cunéiformes du Kultépé, I  B. Hrozny; II  L. Matous (Prag 1952/1962) ",NULL,NULL
"839","Iddatum to Sumutarra "," letter; P. Michalowski, JCS 30, 118   ",NULL,NULL
"840","Iddindagan 1 "," (RIME 4,22  Iddindagan 1)  ",NULL,NULL
"841","Iddindagan 2 "," (StOr 49, Sf.)   ",NULL,NULL
"842","Iddindagan 3 "," (StOr 49,7)   ",NULL,NULL
"843","Iddindagan Hymn B "," lit. comp.; Römer SKIZ 209ff.   ",NULL,NULL
"844","Iddindagan lff. "," royal inscr.; I. Karki, StOr 49, 5ff.   ",NULL,NULL
"845","Iddindagan seal a "," (StOr 49, 5; RIME 4  Iddindagan 2001)  ",NULL,NULL
"846","Iddindagan to Sinillatum "," letter; Ali Letters 67ff. B 3  ",NULL,NULL
"847","Ideogramme "," B. Meissner, Seltene assyrische Ideogramme   ",NULL,NULL
"848","IEJ "," Israel Exploration Journal (Jerusalem 1950 ff.)   ",NULL,NULL
"849","IES "," tablets in the collections of the Institute of Egyptian Studies (Univ. of Cambridge)   ",NULL,NULL
"850","IF "," Indogermanische Forschungen (Straßburg/Leipzig/Berlin 1892 ff.)   ",NULL,NULL
"851","Igituh "," lex. series igi-du8 = tamartu   ",NULL,NULL
"852","Igituh Short Version "," lex. series; B. Landsberger, AfO 18, 81ff.   ",NULL,NULL
"853","Igmilsin to Nudimmudsiga "," letter; PBS 12, 32   ",NULL,NULL
"854","IHH "," B. Hrozny, Les inscriptions hittites hiéroglyphiques (Prague 1933)   ",NULL,NULL
"855","ILN "," Illustrated London News (London 1842 ff.)   ",NULL,NULL
"856","Ilumgamll 1 "," royal mscr.; I. Kärkl, StOr 49, 189f.   ",NULL,NULL
"857","IM "," Museum siglum of the Iraq Museum in Baghdad   ",NULL,NULL
"858","IMGULA "," Walter Sommerfeld, ed.   ",NULL,NULL
"859","imp. "," Imperative   ",NULL,NULL
"860","IMT "," Donbaz, Veysel & Matthew W. Stolper, Istanbul Murašû texts. Istanbul 1997  Nederlands Historisch-Archaeologisch Instituut te Istanbul  ",NULL,NULL
"861","Inanna and Bilulu "," lit. comp.; Th. Jacobsen and S.N. Kramer, JNES 12, 160ff.   ",NULL,NULL
"862","Inanna and Ebih "," lit. comp.; ms. B. Eichler   ",NULL,NULL
"863","Inanna and Enki "," lit. comp.; G. Farber-Flugge, Studia Pohl 10   ",NULL,NULL
"864","Inanna and Iddindagan "," lit. comp.; Römer SKIZ 128ff; D. Reisman, JCS 25, 185ff.   ",NULL,NULL
"865","Inanna and Shukalletuda "," lit. comp.; K. Volk, Inanna und Sukaletuda   ",NULL,NULL
"866","Inanna's Descent "," lit. comp.; W.R. Sladek, Inanna's Descent to the Netherworld (diss., Johns Hopkins Univ.)   ",NULL,NULL
"867","Inannaka to Nintinugga "," letter-prayer; Ali Letters 137ff. B 17  ",NULL,NULL
"868","incant. "," incantation(s)   ",NULL,NULL
"869","Incantation against Gall "," lit. comp.; P. Mlchalowski, ZA 71, lff.   ",NULL,NULL
"870","Incantation to Utu "," lit. comp., B. Alster, Acta Sum 13 27ff   ",NULL,NULL
"871","inf. "," Infinitive   ",NULL,NULL
"872","Inimenlilla to a King "," letter; UET 6/2, 173 i 5ff.   ",NULL,NULL
"873","Iniminanna to Enlilmassu "," letter; Ali Letters 149ff. B l9  ",NULL,NULL
"874","Iniminanna to Lugalibila "," letter; Ali Letters 153ff. B 20  ",NULL,NULL
"875","Inninshagurra "," lit. comp.; A. Sjöberg, ZA 65, 161ff.   ",NULL,NULL
"876","inscr. "," inscription(s)   ",NULL,NULL
"877","Instructions of Shuruppak "," lit. comp.; B. Alster, Mesopotamia 2, and dupls. see B. Alster, Mesopotamia 3, 137ff.; Civil, JNES 43 , 281ff.   ",NULL,NULL
"878","Instructions of Urninurta "," lit comp.; B. Alster, OrNS 60, 141ff.   ",NULL,NULL
"879","interlin. "," Interlinear   ",NULL,NULL
"880","IOS "," Israel oriental studies. [Tel Aviv] Faculty of Humanities, Tel Aviv University   ",NULL,NULL
"881","Iran "," Iran. Journal of the British Institute of Persian Studies (London 1963 ff.)   ",NULL,NULL
"882","IrAnt "," Iranica Antiqua (Leiden 1961 ff.)   ",NULL,NULL
"883","Iraq "," Iraq (British School of Archaeology in Iraq) (London 1934 ff.)   ",NULL,NULL
"884","IRSA "," E. Sollberger/J. R. Kupper, Inscriptions royales sumériennes et akkadiennes (Paris 1971)   ",NULL,NULL
"885","ISET "," S. Kramer/M. Çig/H. Kizilyay, Istanbul Arkeoloji Müzelerinde bulunan Sumer edebi tablet ve parcalari (Sumerian Literary Tablets and Fragments in the Archaeological Museum of Istanbul), I/Il, (Ankara 1969/1976)   ",NULL,NULL
"886","Ishbierra 2 "," royal inscr.; StOr 49, 2; RIME 4  Isbierra 1  ",NULL,NULL
"887","Ishbierra and Kindattu "," lit. comp., J. van Dijk, JCS, 30, 189ff.   ",NULL,NULL
"888","Ishbierra to Ibbisin 1 "," letter, Michalowski Correspondence 243ff.   ",NULL,NULL
"889","Ishbierra to Ibbisin 2 "," letter, S.N. Kramer, OECT 5 17ff.   ",NULL,NULL
"890","IshbierraA "," lit. comp.; Å.W. Sjöberg, Studies Hallo 211ff.   ",NULL,NULL
"891","Ishme Dagan "," M.-C. Ludwig, Untersuchungen zu den Hymnen des Ishme-Dagan von Isin   ",NULL,NULL
"892","Ishmedagan 01 "," (StOr 49, 8), RIME 4  Ismedagan 1)  ",NULL,NULL
"893","Ishmedagan 02 "," (StOr 49, 8), RIME 4  Ismedagan 2)  ",NULL,NULL
"894","Ishmedagan 03 "," (StOr 49, 9; RIME 4  Ismedagan 7)  ",NULL,NULL
"895","Ishmedagan 04 "," (StOr 49, 9, RIME 4  Ismedagan 3)  ",NULL,NULL
"896","Ishmedagan 05 "," (StOr 49, 10; RIME 4  Ismedagan 4)  ",NULL,NULL
"897","Ishmedagan 06 "," (StOr 49, 10; RIME 4  Ismedagan 11)  ",NULL,NULL
"898","Ishmedagan 07 "," (StOr 49, 10f.; RIME 4  Ismedagan 5)  ",NULL,NULL
"899","Ishmedagan 08 "," (StOr 49, 11; RIME 4  Ismedagan 13)  ",NULL,NULL
"900","Ishmedagan 09 "," (StOr 49, 12; RIME 4  Ismedagan 12)  ",NULL,NULL
"901","Ishmedagan 10 "," (StOr 49, 12; RIME 4  Ismedagan 2001)  ",NULL,NULL
"902","Ishmedagan 11 "," (StOr 49, 13; RIME 4  Ismedagan 10)  ",NULL,NULL
"903","Ishmedagan 12 "," (StOr 49, 13; RIME 4  Ismedagan 6)  ",NULL,NULL
"904","Ishmedagan lff. "," royal inscr.   ",NULL,NULL
"905","Ishmedagan S "," lit. comp.; Ludwig Isme-Dagan 87ff.   ",NULL,NULL
"906","Ishmedagan seal a "," (StOr 49, 13; RIME 4  Ismedagan 14)  ",NULL,NULL
"907","Ishmedagan Z "," lit. comp.; ms. P. Michalowski   ",NULL,NULL
"908","Ishtar "," W.F. Leemans, Ishtar of Lagaba and her Dress (= SLB 1/1)   ",NULL,NULL
"909","Isin "," B. Hrouda, Isin-Išān Baḥrīyāt   die Ergebnisse der Ausgrabungen (4 vols. 1977-1992)  ",NULL,NULL
"910","Isin crafts "," Marc van de Mieroop, Crafts in the Early Isin Period  A Study of the Isin Craft Archive from the Reigns of Isbi-Erra and Su-Illisu. Orientalia Lovaniensia Analecta - OLA 24 (Peeters Publishers, 1987)  ",NULL,NULL
"911","ISL "," Innsbrucker Sumerisches Lexikon des Instituts für Sprachen und Kulturen des Alten Orients an der Universität Innsbruck, Abt. I  Sumerisches Lexikon zu den zweisprachigen literarischen Texten; Band 1  Sumerisches Lexikon zu G. Reisner SBH ",NULL,NULL
"912","IstF (aka IstForsch.) "," Istanbuler Forschungen (Berlin/Tübingen 1932 ff.)   ",NULL,NULL
"913","IstM (aka IstMitt.) "," Istanbuler Mitteilungen (Istanbul 1933 ff.); Beih. = Beiheft (1966 ff.)   ",NULL,NULL
